participant,age,sex,participantNum
0,65,2,0
1,33,1,1
5,56,2,5
8,39,2,8
10,49,1,10
11,37,1,11
12,34,2,12
13,55,2,13
15,32,1,15
18,47,2,18
20,58,2,20
21,43,1,21
22,55,2,22
26,49,2,26
27,41,1,27
30,39,2,30
31,59,2,31
32,67,2,32
33,38,2,33
35,50,1,35
37,69,2,37
38,43,1,38
39,58,2,39
40,50,1,40
41,62,2,41
42,54,1,42
44,39,2,44
45,55,1,45
46,32,1,46
47,32,2,47
50,37,1,50
51,32,1,51
52,31,2,52
55,60,1,55
56,22,1,56
57,35,1,57
58,48,2,58
59,68,2,59
60,31,2,60
62,40,1,62
63,52,2,63
67,40,1,67
68,59,2,68
72,59,2,72
73,35,2,73
74,31,1,74
75,31,2,75
76,44,1,76
78,36,1,78
80,57,2,80
81,33,1,81
82,28,1,82
84,46,1,84
85,67,2,85
87,46,1,87
91,59,1,91
92,28,1,92
94,39,1,94
98,47,2,98
99,34,1,99
101,41,2,101
102,25,1,102
104,35,2,104
105,35,2,105
106,43,1,106
107,40,1,107
108,39,1,108
110,29,1,110
111,35,2,111
113,38,1,113
114,43,2,114
115,40,1,115
116,61,2,116
117,69,1,117
118,34,1,118
119,50,1,119
120,39,1,120
121,39,2,121
122,50,2,122
123,74,2,123
124,28,1,124
127,36,2,127
129,54,2,129
132,60,2,132
133,33,1,133
134,36,1,134
135,35,2,135
136,38,1,136
138,39,2,138
139,49,2,139
140,41,1,140
142,42,1,142
143,40,2,143
144,55,2,144
145,36,1,145
146,52,1,146
148,35,1,148
150,29,1,150
153,46,2,153
154,30,2,154
155,36,2,155
158,50,1,158
159,34,1,159
160,47,2,160
161,51,2,161
162,30,1,162
163,53,1,163
164,30,2,164
165,31,1,165
166,36,2,166
168,38,1,168
170,47,2,170
171,54,2,171
173,34,2,173
174,48,1,174
176,36,2,176
177,36,2,177
178,36,2,178
179,37,1,179
180,57,1,180
181,38,2,181
182,38,2,182
183,58,2,183
184,52,2,184
185,54,1,185
186,44,1,186
187,43,2,187
188,49,2,188
189,44,2,189
191,39,1,191
192,34,1,192
195,54,2,195
197,34,2,197
201,40,1,201
203,38,2,203
204,34,1,204
205,36,1,205
206,41,1,206
207,59,5,207
211,46,1,211
212,30,2,212
213,34,1,213
214,38,1,214
215,45,1,215
217,50,1,217
221,61,2,221
222,29,1,222
223,73,1,223
225,30,2,225
226,48,2,226
227,30,1,227
228,43,2,228
231,39,2,231
232,33,1,232
234,47,1,234
235,29,1,235
238,39,2,238
239,51,1,239
240,40,1,240
241,30,2,241
244,60,2,244
247,42,2,247
248,56,2,248
249,56,2,249
251,42,1,251
252,61,2,252
253,33,1,253
257,42,1,257
265,41,2,265
266,30,1,266
267,38,2,267
268,32,2,268
269,37,1,269
272,41,1,272
273,60,1,273
274,33,1,274
275,23,1,275
276,71,2,276
279,40,1,279
282,44,2,282
284,32,1,284
286,43,2,286
287,69,2,287
288,33,2,288
289,29,2,289
290,44,2,290
292,32,2,292
295,21,2,295
296,29,2,296
297,39,1,297
298,34,2,298
300,28,5,300
301,41,1,301
302,31,1,302
303,33,2,303
306,39,1,306
308,53,1,308
309,30,1,309
311,51,1,311
317,35,1,317
318,22,2,318
320,39,2,320
322,28,2,322
323,20,2,323
324,20,2,324
325,60,2,325
326,28,2,326
328,38,1,328
329,27,1,329
330,34,2,330
332,32,1,332
333,21,1,333
334,19,1,334
335,21,2,335
336,20,2,336
340,18,1,340
341,26,1,341
345,53,2,345
347,29,1,347
350,43,2,350
351,32,2,351
352,21,2,352
353,45,2,353
354,32,2,354
355,33,2,355
358,51,1,358
359,27,1,359
360,28,1,360
361,33,2,361
362,22,1,362
363,22,1,363
364,22,1,364
367,24,2,367
368,31,2,368
369,25,2,369
370,46,2,370
371,30,2,371
496,19,2,496
497,36,1,497
498,22,1,498
499,58ee2d957b2e410001c2e807,2,499
500,24,2,500
502,32,2,502
504,31,1,504
506,5f85f61410a6560f8543b8dd,2,506
507,27,1,507
509,37,2,509
512,39,1,512
513,29,1,513
515,22,2,515
516,29,2,516
517,23,2,517
519,31,2,519
520,44,2,520
521,25,1,521
522,22,1,522
523,32,1,523
524,19,2,524
525,32,2,525
526,28,1,526
527,20,2,527
528,47,2,528
529,19,2,529
530,29,2,530
531,36,2,531
532,22,1,532
533,30,1,533
534,20,2,534
536,26,1,536
537,19,2,537
539,27,2,539
540,20,1,540
543,20,2,543
544,27,1,544
545,40,1,545
546,19,1,546
547,42,2,547
548,23,2,548
549,25,2,549
550,19,2,550
552,33,1,552
556,22,2,556
557,30,2,557
558,39,2,558
559,22,2,559
560,24,1,560
561,22,2,561
563,34,2,563
564,37,2,564
566,28,2,566
567,22,1,567
569,27,2,569
570,28,2,570
571,25,2,571
573,36,2,573
574,38,1,574
576,31,1,576
577,33,2,577
579,42,2,579
580,25,2,580
581,29,2,581
583,27,2,583
584,21,2,584
585,18,2,585
586,25,2,586
587,21,2,587
588,34,1,588
589,25,1,589
590,19,2,590
591,63,2,591
592,30,2,592
595,26,2,595
596,20,2,596
597,22,2,597
598,19,2,598
599,39,1,599
600,21,5,600
602,23,2,602
606,37,2,606
607,27,1,607
610,43,1,610
611,24,2,611
612,45,2,612
613,19,2,613
614,28,2,614
615,25,1,615
